level,source,target,journal
citation 1,Science Of The Total Environment,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,Journal Of Trace Elements In Medicine And Biology
citation 10,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,FRONTIERS IN ECOLOGY AND EVOLUTION,Frontiers In Ecology And Evolution
citation 10,Aquatic Toxicology,PEERJ,Peerj
citation 10,Aquatic Toxicology,GENERAL AND COMPARATIVE ENDOCRINOLOGY,General And Comparative Endocrinology
citation 10,Aquatic Toxicology,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,Environmental Science-Processes & Impacts
citation 10,Aquatic Toxicology,BIOLOGY LETTERS,Biology Letters
citation 10,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 10,Aquatic Toxicology,ECOTOXICOLOGY,Ecotoxicology
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,CURRENT ZOOLOGY,Current Zoology
citation 10,Aquatic Toxicology,ACTA ETHOLOGICA,Acta Ethologica
citation 10,Aquatic Toxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 10,Aquatic Toxicology,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 10,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 10,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 10,Aquatic Toxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 10,Aquatic Toxicology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 10,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 10,Aquatic Toxicology,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 10,Aquatic Toxicology,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Proceedings Of The Royal Society B-Biological Sciences
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 10,Aquatic Toxicology,CONSERVATION PHYSIOLOGY,Conservation Physiology
citation 10,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 10,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 11,Environmental Toxicology And Chemistry,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,JOURNAL OF APPLIED ICHTHYOLOGY,Journal Of Applied Ichthyology
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 11,Environmental Toxicology And Chemistry,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 11,Environmental Toxicology And Chemistry,WATER RESEARCH,Water Research
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,CHEMOSPHERE,Chemosphere
citation 11,Environmental Toxicology And Chemistry,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 11,Environmental Toxicology And Chemistry,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 11,Environmental Toxicology And Chemistry,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 12,Aquatic Toxicology,BRAIN RESEARCH,Brain Research
citation 12,Aquatic Toxicology,PEERJ,Peerj
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 12,Aquatic Toxicology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 12,Aquatic Toxicology,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,Environmental Science-Water Research & Technology
citation 12,Aquatic Toxicology,PEERJ,Peerj
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,PLOS ONE,Plos One
citation 12,Aquatic Toxicology,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 12,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 12,Aquatic Toxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 12,Aquatic Toxicology,ECOTOXICOLOGY,Ecotoxicology
citation 12,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 12,Aquatic Toxicology,BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,Bmc Complementary And Alternative Medicine
citation 12,Aquatic Toxicology,ECOTOXICOLOGY,Ecotoxicology
citation 12,Aquatic Toxicology,AQUACULTURE,Aquaculture
citation 12,Aquatic Toxicology,SCIENTIFIC REPORTS,Scientific Reports
citation 12,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 12,Aquatic Toxicology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 12,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 12,Aquatic Toxicology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 12,Aquatic Toxicology,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy
citation 12,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,BEHAVIOURAL BRAIN RESEARCH,Behavioural Brain Research
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF NEUROENDOCRINOLOGY,Journal Of Neuroendocrinology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,GENERAL AND COMPARATIVE ENDOCRINOLOGY,General And Comparative Endocrinology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,CHEMOSPHERE,Chemosphere
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,International Journal Of Molecular Sciences
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,NEUROPHARMACOLOGY,Neuropharmacology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF COASTAL RESEARCH,Journal Of Coastal Research
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,DISEASE MODELS & MECHANISMS,Disease Models & Mechanisms
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,EUROPEAN JOURNAL OF NEUROSCIENCE,European Journal Of Neuroscience
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,FRONTIERS IN ENDOCRINOLOGY,Frontiers In Endocrinology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,International Journal Of Molecular Sciences
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,NEUROTOXICOLOGY,Neurotoxicology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,CHEMOSPHERE,Chemosphere
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,SCIENTIFIC REPORTS,Scientific Reports
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,GREEN CHEMISTRY,Green Chemistry
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,Toxicological And Environmental Chemistry
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,Toxicological And Environmental Chemistry
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 13,Journal Of Toxicology And Environmental Health-Part A-Current Issues,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,Journal Of Toxicology And Environmental Health-Part A-Current Issues
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,ENVIRONMENT INTERNATIONAL,Environment International
citation 14,Chemosphere,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 14,Chemosphere,PLOS ONE,Plos One
citation 14,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 14,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 14,Chemosphere,APPLIED BIOLOGICAL CHEMISTRY,Applied Biological Chemistry
citation 14,Chemosphere,PEERJ,Peerj
citation 14,Chemosphere,TALANTA,Talanta
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,TOXICOLOGY AND APPLIED PHARMACOLOGY,Toxicology And Applied Pharmacology
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 14,Chemosphere,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,Journal Of Pharmaceutical And Biomedical Analysis
citation 14,Chemosphere,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 14,Chemosphere,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 14,Chemosphere,CHEMOSPHERE,Chemosphere
citation 14,Chemosphere,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 14,Chemosphere,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 14,Chemosphere,PLOS ONE,Plos One
citation 14,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 14,Chemosphere,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 14,Chemosphere,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 14,Chemosphere,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 15,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 15,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 15,Aquatic Toxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 15,Aquatic Toxicology,NEUROCHEMISTRY INTERNATIONAL,Neurochemistry International
citation 15,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 15,Aquatic Toxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 15,Aquatic Toxicology,NEUROSCIENCE,Neuroscience
citation 15,Aquatic Toxicology,PERTANIKA JOURNAL OF SCIENCE AND TECHNOLOGY,Pertanika Journal Of Science And Technology
citation 15,Aquatic Toxicology,MARINE POLLUTION BULLETIN,Marine Pollution Bulletin
citation 15,Aquatic Toxicology,REGULATORY TOXICOLOGY AND PHARMACOLOGY,Regulatory Toxicology And Pharmacology
citation 15,Aquatic Toxicology,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,Progress In Neuro-Psychopharmacology & Biological Psychiatry
citation 15,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 15,Aquatic Toxicology,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,Progress In Neuro-Psychopharmacology & Biological Psychiatry
citation 15,Aquatic Toxicology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 15,Aquatic Toxicology,BEHAVIOURAL PHARMACOLOGY,Behavioural Pharmacology
citation 15,Aquatic Toxicology,BRAIN BEHAVIOR AND IMMUNITY,Brain Behavior And Immunity
citation 15,Aquatic Toxicology,BRITISH JOURNAL OF PHARMACOLOGY,British Journal Of Pharmacology
citation 15,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 15,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 15,Aquatic Toxicology,JOURNAL OF APPLIED TOXICOLOGY,Journal Of Applied Toxicology
citation 15,Aquatic Toxicology,ARHIV ZA HIGIJENU RADA I TOKSIKOLOGIJU-ARCHIVES OF INDUSTRIAL HYGIENE AND TOXICOLOGY,Arhiv Za Higijenu Rada I Toksikologiju-Archives Of Industrial Hygiene And Toxicology
citation 15,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 15,Aquatic Toxicology,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,Pharmacology Biochemistry And Behavior
citation 15,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 15,Aquatic Toxicology,ZEBRAFISH,Zebrafish
citation 15,Aquatic Toxicology,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,Frontiers In Behavioral Neuroscience
citation 16,Environmental Science & Technology,MOLECULAR OMICS,Molecular Omics
citation 16,Environmental Science & Technology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,Comparative Biochemistry And Physiology D-Genomics & Proteomics
citation 16,Environmental Science & Technology,TALANTA,Talanta
citation 16,Environmental Science & Technology,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,Trac-Trends In Analytical Chemistry
citation 16,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 16,Environmental Science & Technology,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,Environmental Science-Processes & Impacts
