Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
19;12550;"BMC Pregnancy and Childbirth";journal;"14712393";1,275;Q1;75;544;1347;20413;4045;1328;2,59;37,52;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Obstetrics and Gynecology (Q1)"
20;28010;"Molecular Human Reproduction";journal;"14602407, 13609947";1,266;Q1;118;63;205;2242;686;186;3,47;35,59;United Kingdom;Western Europe;"Oxford University Press";"1995-2020";"Embryology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Cell Biology (Q2); Developmental Biology (Q2); Genetics (Q2); Molecular Biology (Q2)"
21;21284;"Journal of Reproductive Immunology";journal;"18727603, 01650378";1,263;Q1;84;42;196;1863;646;190;4,00;44,36;Ireland;Western Europe;"Elsevier Ireland Ltd";"1979-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2)"
22;30056;"Acta Obstetricia et Gynecologica Scandinavica";journal;"16000412, 00016349";1,254;Q1;97;253;592;6340;1543;488;3,09;25,06;United Kingdom;Western Europe;"Wiley-Blackwell";"1921-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)"
23;20122;"Women's Health Issues";journal;"10493867, 18784321";1,251;Q1;56;88;293;3571;702;261;2,51;40,58;Netherlands;Western Europe;"Elsevier USA";"1990-2020";"Health (social science) (Q1); Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1)"
24;28161;"Reproductive BioMedicine Online";journal;"14726483, 14726491";1,230;Q1;107;234;564;9126;1532;451;3,33;39,00;United Kingdom;Western Europe;"Elsevier";"2000-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Developmental Biology (Q2)"
25;144680;"Reproductive Health";journal;"17424755";1,223;Q1;46;185;554;7292;1438;530;2,52;39,42;United Kingdom;Western Europe;"BioMed Central Ltd.";"2004-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
26;9500153922;"American Journal of Reproductive Immunology";journal;"10467408";1,218;Q1;91;104;441;5614;1374;414;3,03;53,98;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1980-1984, 1989-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2)"
27;5800179586;"International Breastfeeding Journal";journal;"17464358";1,205;Q1;36;49;133;1986;431;127;2,93;40,53;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
28;13543;"Reproduction";journal;"17417899, 14701626";1,201;Q1;128;141;503;9672;1726;493;3,26;68,60;United Kingdom;Western Europe;"BioScientifica Ltd.";"1996-2020";"Embryology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Cell Biology (Q2); Endocrinology (Q2)"
29;27660;"Maturitas";journal;"03785122";1,189;Q1;100;170;585;6795;2163;515;3,95;39,97;Ireland;Western Europe;"Elsevier Ireland Ltd";"1978-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)"
30;19489;"Archives of Women's Mental Health";journal;"14341816, 14351102";1,176;Q1;70;128;320;5243;1002;295;3,02;40,96;Austria;Western Europe;"Springer-Verlag Wien";"1998-2020";"Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1)"
31;16182;"Seminars in Perinatology";journal;"1558075X, 01460005";1,160;Q1;86;81;227;3672;732;206;3,66;45,33;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1977-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
32;17069;"Placenta";journal;"01434004, 15323102";1,147;Q1;118;138;590;5476;1698;561;3,15;39,68;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1970, 1977, 1980-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Developmental Biology (Q2)"
33;12648;"Clinics in Perinatology";journal;"00955108, 15579840";1,144;Q1;74;71;209;4058;575;158;3,65;57,15;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1974-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
34;12560;"Birth";journal;"1523536X, 07307659";1,143;Q1;81;101;158;3699;475;137;3,33;36,62;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2020";"Obstetrics and Gynecology (Q1)"
35;27580;"Journal of Assisted Reproduction and Genetics";journal;"10580468";1,140;Q1;73;300;717;11085;1878;604;2,69;36,95;United States;Northern America;"Springer New York";"1992-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Developmental Biology (Q2); Genetics (Q2); Genetics (clinical) (Q2)"
36;21100337102;"Sexual Medicine Reviews";journal;"20500521";1,078;Q1;17;87;161;5545;588;139;4,33;63,74;United States;Northern America;"Elsevier Inc.";"2013-2020";"Dermatology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Urology (Q1)"
37;28143;"Prenatal Diagnosis";journal;"10970223, 01973851";1,067;Q1;94;170;571;5190;1301;486;2,63;30,53;United States;Northern America;"John Wiley and Sons Ltd";"1980-2020";"Obstetrics and Gynecology (Q1); Genetics (clinical) (Q2)"
38;26698;"Reproductive Biology and Endocrinology";journal;"14777827";1,065;Q1;83;113;305;5124;1005;292;3,50;45,35;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Developmental Biology (Q2); Endocrinology (Q2)"
39;27666;"Menopause";journal;"10723714, 15300374";1,016;Q1;99;222;665;6505;1563;523;3,13;29,30;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1994-2020";"Obstetrics and Gynecology (Q1)"
40;27658;"Maternal and Child Health Journal";journal;"10927875, 15736628";1,014;Q1;80;204;801;6234;1710;754;2,10;30,56;United States;Northern America;"Springer GmbH &amp; Co, Auslieferungs-Gesellschaf";"1997-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
41;27518;"International Journal of Gynecological Cancer";journal;"15251438, 1048891X";1,011;Q1;84;254;825;6463;1757;768;2,12;25,44;United Kingdom;Western Europe;"BMJ Publishing Group";"1991-2020";"Obstetrics and Gynecology (Q1); Oncology (Q2)"
42;27623;"Journal of Perinatology";journal;"14765543, 07438346";1,001;Q1;89;253;774;6983;1622;695;2,11;27,60;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
43;27525;"International Urogynecology Journal";journal;"09373462, 14333023";0,959;Q1;89;431;845;9445;1638;727;2,11;21,91;United Kingdom;Western Europe;"Springer London";"1990-2020";"Obstetrics and Gynecology (Q1); Urology (Q1)"
44;12661;"Current Opinion in Obstetrics and Gynecology";journal;"1040872X, 1473656X";0,927;Q1;70;79;224;3124;559;214;2,23;39,54;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1989-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)"
45;19700174927;"Journal of Ovarian Research";journal;"17572215";0,927;Q1;40;127;264;5459;776;260;3,00;42,98;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009-2020";"Obstetrics and Gynecology (Q1); Oncology (Q2)"
46;19700175053;"International Journal of Women's Health";journal;"11791411";0,907;Q2;39;62;264;2364;714;261;2,58;38,13;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2009-2020";"Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q2); Oncology (Q2)"
47;7900153106;"Reproductive Sciences";journal;"19337191, 19337205";0,905;Q2;73;198;554;8353;1272;518;2,47;42,19;United States;Northern America;"SAGE Publications Inc.";"2007-2020";"Obstetrics and Gynecology (Q2)"
48;12708;"Fetal Diagnosis and Therapy";journal;"14219964, 10153837";0,897;Q2;58;143;278;3973;534;262;2,25;27,78;Switzerland;Western Europe;"S. Karger AG";"1986-2020";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Embryology (Q2); Obstetrics and Gynecology (Q2)"
49;4700152255;"Women and Birth";journal;"18715192";0,871;Q2;34;219;332;8928;881;289;2,64;40,77;Netherlands;Western Europe;"Elsevier BV";"2006-2020";"Maternity and Midwifery (Q1); Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q2)"
50;7600153113;"Breastfeeding Medicine";journal;"15568253, 15568342";0,865;Q2;43;152;422;3403;721;327;1,95;22,39;United States;Northern America;"Mary Ann Liebert Inc.";"2006-2020";"Health Policy (Q1); Maternity and Midwifery (Q1); Medicine (miscellaneous) (Q1); Pediatrics (Q1); Obstetrics and Gynecology (Q2)"
51;19700186941;"Pregnancy Hypertension";journal;"22107797, 22107789";0,844;Q2;20;136;282;4498;599;278;2,08;33,07;Netherlands;Western Europe;"Elsevier BV";"2011-2020";"Internal Medicine (Q2); Obstetrics and Gynecology (Q2)"
52;27584;"Journal of Human Lactation";journal;"08903344, 15525732";0,839;Q2;57;126;332;3384;660;280;2,06;26,86;United States;Northern America;"SAGE Publications Inc.";"1985-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
53;15113;"Journal of Pediatric and Adolescent Gynecology";journal;"10833188, 18734332";0,838;Q2;53;125;409;3210;816;364;2,02;25,68;Netherlands;Western Europe;"Elsevier USA";"1996-2020";"Pediatrics, Perinatology and Child Health (Q1); Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
54;64864;"Midwifery";journal;"02666138, 15323099";0,835;Q2;62;201;603;8791;1408;572;2,15;43,74;United States;Northern America;"Churchill Livingstone";"1985-2020";"Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q2)"
55;26709;"Seminars in Reproductive Medicine";journal;"15268004, 15264564";0,835;Q2;77;31;186;1694;366;155;2,25;54,65;United States;Northern America;"Thieme Medical Publishers Inc.";"1999-2019";"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Obstetrics and Gynecology (Q2); Physiology (medical) (Q2); Reproductive Medicine (Q2)"
56;27521;"International Journal of Gynecology and Obstetrics";journal;"00207292";0,826;Q2;93;275;1013;6242;1849;960;1,99;22,70;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1973-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
57;144915;"Journal of Minimally Invasive Gynecology";journal;"15534669, 15534650";0,824;Q2;77;375;810;6208;1356;677;1,92;16,55;Netherlands;Western Europe;"Elsevier";"2005-2020";"Obstetrics and Gynecology (Q2)"
58;30082;"Archives of Gynecology and Obstetrics";journal;"14320711, 09320067";0,822;Q2;63;425;1104;13198;2415;988;2,36;31,05;Germany;Western Europe;"Springer Verlag";"1987-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
59;12681;"European Journal of Obstetrics, Gynecology and Reproductive Biology";journal;"00282243, 18727654, 03012115";0,802;Q2;95;432;1424;11021;2603;1143;2,14;25,51;Ireland;Western Europe;"Elsevier Ireland Ltd";"1971-2020";"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
60;19505;"Climacteric";journal;"14730804, 13697137";0,793;Q2;67;116;312;4481;786;260;2,74;38,63;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
61;12663;"Early Human Development";journal;"18726232, 03783782";0,791;Q2;92;184;476;6086;996;441;2,22;33,08;Netherlands;Western Europe;"Elsevier Ireland Ltd";"1977-2020";"Pediatrics, Perinatology and Child Health (Q1); Obstetrics and Gynecology (Q2)"
62;30079;"American Journal of Perinatology";journal;"10988785, 07351631";0,788;Q2;63;231;637;5880;1096;623;1,49;25,45;United States;Northern America;"Thieme Medical Publishers Inc.";"1983-2020";"Pediatrics, Perinatology and Child Health (Q1); Obstetrics and Gynecology (Q2)"
63;19499;"BMC Women's Health";journal;"14726874";0,777;Q2;44;170;417;6149;829;415;1,75;36,17;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
64;27622;"Journal of Perinatal Medicine";journal;"03005577, 16193997";0,773;Q2;66;138;421;4149;682;368;1,80;30,07;Germany;Western Europe;"Walter de Gruyter GmbH";"1973-2020";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)"
65;27519;"International Journal of Gynecological Pathology";journal;"15387151, 02771691";0,771;Q2;76;152;253;3229;470;235;1,83;21,24;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1982-2020";"Obstetrics and Gynecology (Q2); Pathology and Forensic Medicine (Q2)"
66;21100898706;"Sexual and Reproductive Health Matters";journal;"26410397";0,769;Q2;54;76;125;1988;264;95;2,09;26,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2019-2020";"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
67;12645;"Clinical Obstetrics and Gynecology";journal;"00099201, 15325520";0,766;Q2;71;95;253;3394;416;225;1,61;35,73;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1958-1963, 1965-2020";"Obstetrics and Gynecology (Q2)"
68;28090;"Obstetrics and Gynecology Clinics of North America";journal;"08898545";0,729;Q2;58;70;184;2590;339;148;2,52;37,00;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1987-2020";"Obstetrics and Gynecology (Q2)"
69;28085;"Obstetrical and Gynecological Survey";journal;"00297828, 15339866";0,711;Q2;80;205;658;1891;285;117;2,11;9,22;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1946-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
70;24635;"European Journal of Contraception and Reproductive Health Care";journal;"14730782, 13625187";0,703;Q2;43;80;235;2425;369;202;1,62;30,31;United Kingdom;Western Europe;"Informa Healthcare";"1996-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2); Pharmacology (medical) (Q2); Reproductive Medicine (Q2)"
71;27601;"Journal of Maternal-Fetal and Neonatal Medicine";journal;"14767058, 14764954";0,703;Q2;75;1361;1993;37740;3282;1765;1,81;27,73;United Kingdom;Western Europe;"Informa Healthcare";"1992-2020";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)"
72;12547;"Australian and New Zealand Journal of Obstetrics and Gynaecology";journal;"1479828X, 00048666";0,662;Q2;61;190;397;4744;556;300;1,82;24,97;United States;Northern America;"Wiley-Blackwell";"1961-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
73;19900194800;"Female Pelvic Medicine and Reconstructive Surgery";journal;"21544212, 21518378";0,661;Q2;26;103;314;2197;416;292;1,32;21,33;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2010-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2); Surgery (Q2); Urology (Q2)"
74;27487;"Human Fertility";journal;"14647273, 17428149";0,658;Q2;37;85;149;2998;223;106;2,13;35,27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
75;21100466401;"International Journal of Reproductive BioMedicine";journal;"24764108, 24763772";0,657;Q2;24;89;295;2573;524;290;1,35;28,91;Iran;Middle East;"Research and Clinical Centre for Infertility";"2011-2013, 2015-2020";"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
76;21100215171;"Journal of Pregnancy";journal;"20902735, 20902727";0,643;Q2;29;34;92;1032;159;86;1,66;30,35;United States;Northern America;"Hindawi Publishing Corporation";"2010-2020";"Obstetrics and Gynecology (Q2)"
77;23751;"Hypertension in Pregnancy";journal;"10641955, 15256065";0,640;Q2;45;36;138;1358;243;136;1,80;37,72;United States;Northern America;"Informa Healthcare";"1982-2020";"Internal Medicine (Q2); Obstetrics and Gynecology (Q2)"
78;17573;"Jornal Brasileiro de Reproducao Assistida";journal;"15175693";0,636;Q2;11;73;179;1884;246;161;1,59;25,81;Brazil;Latin America;"Sociedade Brasileira de Reproducao Assistida";"2000-2020";"Obstetrics and Gynecology (Q2)"
79;21100862741;"BMJ Sexual and Reproductive Health";journal;"25152009, 25151991";0,633;Q2;37;96;246;2367;206;128;1,38;24,66;United Kingdom;Western Europe;"BMJ Publishing Group";"2018-2020";"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
80;27523;"International Journal of Obstetric Anesthesia";journal;"0959289X, 15323374";0,596;Q2;51;119;292;3402;356;170;1,89;28,59;United States;Northern America;"Churchill Livingstone";"1991-2020";"Anesthesiology and Pain Medicine (Q2); Obstetrics and Gynecology (Q2)"
81;27608;"Journal of Obstetrics and Gynaecology Research";journal;"14470756, 13418076";0,589;Q2;48;331;875;8129;1264;817;1,49;24,56;United Kingdom;Western Europe;"Blackwell Publishing Asia";"1976-1977, 1996-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
82;27628;"Journal of Psychosomatic Obstetrics and Gynaecology";journal;"0167482X, 17438942";0,550;Q2;63;57;117;2149;250;87;2,91;37,70;United Kingdom;Western Europe;"Informa Healthcare";"1982-2020";"Clinical Psychology (Q2); Obstetrics and Gynecology (Q2); Psychiatry and Mental Health (Q2); Reproductive Medicine (Q2)"
83;27585;"Journal of Lower Genital Tract Disease";journal;"15260976, 10892591";0,547;Q2;41;58;273;1465;345;242;1,36;25,26;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1997-2020";"Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
84;15600154709;"Advances in Urology";journal;"16876377, 16876369";0,544;Q2;29;9;68;320;126;64;2,20;35,56;United States;Northern America;"Hindawi Publishing Corporation";"2009-2020";"Obstetrics and Gynecology (Q2); Urology (Q2)"
85;26117;"Gynecological Endocrinology";journal;"09513590, 14730766";0,530;Q2;57;306;729;8639;1122;698;1,61;28,23;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2020";"Obstetrics and Gynecology (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)"
86;27603;"Journal of Midwifery and Women's Health";journal;"15269523";0,522;Q2;58;117;393;2982;414;274;1,49;25,49;United States;Northern America;"Wiley-Blackwell";"2000-2020";"Maternity and Midwifery (Q1); Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
87;21100828134;"Obstetrics and Gynecology Science";journal;"22878580, 22878572";0,519;Q2;8;69;206;1891;284;193;1,47;27,41;South Korea;Asiatic Region;"Korean Society of Obstetrics and Gynecology";"2017-2020";"Obstetrics and Gynecology (Q2)"
88;21100855885;"Gynecologic Oncology Reports";journal;"23525789";0,508;Q2;14;118;323;1783;382;289;1,33;15,11;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Obstetrics and Gynecology (Q2); Oncology (Q3)"
89;17600155228;"International Journal of Fertility and Sterility";journal;"2008076X, 20080778";0,506;Q2;20;54;168;1686;299;165;1,46;31,22;Iran;Middle East;"Royan Institute";"2008-2020";"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q3)"
90;19700166805;"Sexual and Reproductive Healthcare";journal;"18775764, 18775756";0,506;Q2;24;61;203;1798;328;189;1,63;29,48;Netherlands;Western Europe;"Elsevier";"2010-2020";"Maternity and Midwifery (Q2); Obstetrics and Gynecology (Q2)"
91;144614;"Twin Research and Human Genetics";journal;"18392628, 18324274";0,501;Q3;80;125;214;4212;294;208;1,22;33,70;United Kingdom;Western Europe;"Cambridge University Press";"2005-2020";"Pediatrics, Perinatology and Child Health (Q2); Obstetrics and Gynecology (Q3); Genetics (clinical) (Q4)"
92;130096;"Taiwanese Journal of Obstetrics and Gynecology";journal;"10284559";0,493;Q3;30;194;622;4521;853;551;1,56;23,30;Taiwan;Asiatic Region;"Elsevier Taiwan LLC";"2004-2020";"Obstetrics and Gynecology (Q3)"
93;21100777276;"Obstetrics and Gynecology International";journal;"16879597, 16879589";0,490;Q3;9;13;88;316;101;85;0,98;24,31;United States;Northern America;"Hindawi Publishing Corporation";"2016-2020";"Obstetrics and Gynecology (Q3)"
94;145237;"Przeglad Menopauzalny";journal;"16438876";0,489;Q3;16;37;109;1353;204;105;1,85;36,57;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2005-2019";"Endocrinology, Diabetes and Metabolism (Q3); Obstetrics and Gynecology (Q3)"
95;27466;"Gynecologic and Obstetric Investigation";journal;"1423002X, 03787346";0,467;Q3;61;80;263;2581;327;258;1,25;32,26;Switzerland;Western Europe;"S. Karger AG";"1895-2020";"Obstetrics and Gynecology (Q3); Reproductive Medicine (Q3)"
96;130148;"Gynecological Surgery";journal;"16132076, 16132084";0,439;Q3;22;14;123;436;122;116;1,39;31,14;Germany;Western Europe;"Springer Verlag";"2005-2019";"Obstetrics and Gynecology (Q3); Surgery (Q3)"
97;21100900065;"International Journal of Neonatal Screening";journal;"2409515X";0,426;Q3;7;41;87;1185;87;82;1,14;28,90;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2015-2020";"Pediatrics, Perinatology and Child Health (Q2); Obstetrics and Gynecology (Q3); Immunology and Microbiology (miscellaneous)  (Q4)"
98;12728;"Geburtshilfe und Frauenheilkunde";journal;"14388804, 00165751";0,424;Q3;25;310;530;4504;421;313;1,59;14,53;Germany;Western Europe;"Georg Thieme Verlag";"1947-1948, 1950-2020";"Maternity and Midwifery (Q2); Obstetrics and Gynecology (Q3)"
99;21100316021;"Obstetric Medicine";journal;"1753495X, 17534968";0,419;Q3;10;70;132;2000;126;110;0,90;28,57;United Kingdom;Western Europe;"SAGE Publications Ltd";"2013-2020";"Obstetrics and Gynecology (Q3)"
100;37502;"Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC";journal;"17012163";0,414;Q3;66;389;857;10196;783;662;1,21;26,21;United States;Northern America;"Elsevier Inc.";"2002-2020";"Obstetrics and Gynecology (Q3)"
