Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
15;15548;"European Child and Adolescent Psychiatry";journal;"10188827, 1435165X";1,586;Q1;90;243;438;12467;1693;378;4,32;51,30;Germany;Western Europe;"D. Steinkopff-Verlag";"1992-2020";"Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Philosophy (Q1); Psychiatry and Mental Health (Q1)"
16;500147005;"Maternal and Child Nutrition";journal;"17408695, 17408709";1,535;Q1;57;186;471;8016;1603;442;2,97;43,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Nutrition and Dietetics (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
17;19400158590;"Journal of Neurodevelopmental Disorders";journal;"18661947, 18661955";1,496;Q1;41;42;127;2777;454;120;3,57;66,12;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009, 2012-2020";"Cognitive Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1)"
18;21100201916;"Pediatric obesity";journal;"20476302, 20476310";1,455;Q1;63;102;274;4016;974;261;3,65;39,37;United Kingdom;Western Europe;"Wiley-Blackwell for the International Association for the Study of Obesity";"2012-2020";"Health Policy (Q1); Nutrition and Dietetics (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
19;24451;"Child Abuse and Neglect";journal;"01452134";1,424;Q1;137;298;797;16522;2678;751;3,22;55,44;Netherlands;Western Europe;"Elsevier Ltd.";"1977-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Work (Q1)"
20;25294;"Journal of Cystic Fibrosis";journal;"15691993, 18735010";1,411;Q1;71;229;448;7605;1453;352;4,49;33,21;Netherlands;Western Europe;"Elsevier";"2002-2020";"Pediatrics, Perinatology and Child Health (Q1); Pulmonary and Respiratory Medicine (Q1)"
21;20518;"Pediatric Cardiac Surgery Annual";journal;"10929126, 18764665";1,373;Q1;39;12;46;383;126;43;2,61;31,92;United Kingdom;Western Europe;"W.B. Saunders Ltd";"2001-2020";"Cardiology and Cardiovascular Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1)"
22;16800154743;"Academic Pediatrics";journal;"18762859, 18762867";1,353;Q1;68;156;478;4237;1309;355;3,29;27,16;United States;Northern America;"Elsevier Inc.";"2009-2020";"Pediatrics, Perinatology and Child Health (Q1)"
23;15701;"Pediatric Allergy and Immunology";journal;"13993038, 09056157";1,338;Q1;85;137;445;4040;1369;272;5,23;29,49;United Kingdom;Western Europe;"Blackwell Munksgaard";"1990-2020";"Pediatrics, Perinatology and Child Health (Q1); Immunology (Q2); Immunology and Allergy (Q2)"
24;15634;"Paediatric and Perinatal Epidemiology";journal;"02695022, 13653016";1,312;Q1;84;89;251;2838;549;172;2,92;31,89;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2020";"Pediatrics, Perinatology and Child Health (Q1); Epidemiology (Q2)"
25;25175;"Infancy";journal;"15327078, 15250008";1,302;Q1;65;49;135;2932;309;133;2,15;59,84;United States;Northern America;"Wiley-Blackwell";"2000-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
26;24469;"Child Maltreatment";journal;"10775595";1,281;Q1;79;71;100;3470;319;96;3,18;48,87;United States;Northern America;"SAGE Publications Inc.";"1996-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
27;130036;"Pediatric Critical Care Medicine";journal;"15297535, 19473893";1,207;Q1;83;370;1168;6286;1866;673;2,59;16,99;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2000-2020";"Critical Care and Intensive Care Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1)"
28;5800179586;"International Breastfeeding Journal";journal;"17464358";1,205;Q1;36;49;133;1986;431;127;2,93;40,53;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
29;25655;"Journal of Adolescence";journal;"10959254, 01401971";1,186;Q1;109;135;447;7430;1511;434;3,16;55,04;United States;Northern America;"Academic Press Inc.";"1978-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1)"
30;12260;"Journal of Pediatric Orthopaedics";journal;"15392570, 02716798";1,186;Q1;90;327;667;6995;1314;624;1,98;21,39;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1981-2020";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1)"
31;21100854161;"Molecular and Cellular Pediatrics";journal;"21947791";1,184;Q1;3;0;5;0;24;5;6,00;0,00;Germany;Western Europe;"Springer Verlag";"2016-2017";"Pediatrics, Perinatology and Child Health (Q1); Cell Biology (Q2); Molecular Biology (Q2)"
32;5200152603;"Neonatology";journal;"16617800";1,178;Q1;80;150;329;3743;961;299;3,07;24,95;Switzerland;Western Europe;"S. Karger AG";"1959-1997, 2007-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental Biology (Q2)"
33;17976;"Neuromuscular Disorders";journal;"18732364, 09608966";1,177;Q1;94;137;474;4052;1245;438;2,97;29,58;United Kingdom;Western Europe;"Elsevier Ltd.";"1991-2020";"Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Genetics (clinical) (Q2); Neurology (Q2)"
34;16182;"Seminars in Perinatology";journal;"1558075X, 01460005";1,160;Q1;86;81;227;3672;732;206;3,66;45,33;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1977-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
35;15116;"Journal of Pediatrics";journal;"00223476, 10976833";1,145;Q1;197;795;2688;17913;6548;2247;2,79;22,53;United States;Northern America;"Mosby Inc.";"1932-2020";"Pediatrics, Perinatology and Child Health (Q1)"
36;12648;"Clinics in Perinatology";journal;"00955108, 15579840";1,144;Q1;74;71;209;4058;575;158;3,65;57,15;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1974-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
37;12647;"Pediatric Blood and Cancer";journal;"15455017, 15455009";1,143;Q1;100;540;1544;14600;3225;1263;2,44;27,04;United States;Northern America;"Wiley-Liss Inc.";"2004-2020";"Hematology (Q1); Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Oncology (Q2)"
38;12722;"Journal of Pediatric Gastroenterology and Nutrition";journal;"02772116, 15364801";1,141;Q1;125;345;1261;6020;2948;1004;3,02;17,45;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1982-2020";"Gastroenterology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
39;15739;"Pediatric Infectious Disease Journal";journal;"08913668, 15320987";1,139;Q1;138;358;1127;6595;2175;958;2,16;18,42;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1982-2020";"Pediatrics, Perinatology and Child Health (Q1); Infectious Diseases (Q2); Microbiology (medical) (Q2)"
40;19700200840;"Childhood Obesity";journal;"21532176, 21532168";1,115;Q1;33;65;190;2663;524;182;2,87;40,97;United States;Northern America;"Mary Ann Liebert Inc.";"2010-2020";"Nutrition and Dietetics (Q1); Pediatrics, Perinatology and Child Health (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
41;11700154623;"Pediatric Rheumatology";journal;"15460096";1,109;Q1;34;85;232;2961;682;227;2,72;34,84;United Kingdom;Western Europe;"BioMed Central Ltd.";"2007-2020";"Pediatrics, Perinatology and Child Health (Q1); Immunology and Allergy (Q2); Rheumatology (Q2)"
42;21100776086;"Journal of Pediatric Genetics";journal;"21464596, 2146460X";1,089;Q1;6;0;1;0;7;1;0,00;0,00;Germany;Western Europe;"Georg Thieme Verlag";"2012-2013, 2016";"Pediatrics, Perinatology and Child Health (Q1); Genetics (clinical) (Q2)"
43;11200153402;"Journal of Neurosurgery: Pediatrics";journal;"19330707, 19330715";1,076;Q1;61;199;710;6091;1386;568;2,22;30,61;United States;Northern America;"American Association of Neurological Surgeons";"2008-2020";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1); Neurology (clinical) (Q2)"
44;14491;"Archives of Disease in Childhood";journal;"00039888, 14682044";1,060;Q1;141;473;1000;7932;1851;649;2,73;16,77;United Kingdom;Western Europe;"BMJ Publishing Group";"1930, 1932-2020";"Pediatrics, Perinatology and Child Health (Q1)"
45;22283;"Seminars in Pediatric Surgery";journal;"10558586, 15329453";1,048;Q1;63;65;190;2545;642;173;3,34;39,15;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1992-2020";"Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1)"
46;5700155920;"Focus on Autism and Other Developmental Disabilities";journal;"10883576, 15384829";1,045;Q1;64;30;79;1086;219;79;2,45;36,20;United States;Northern America;"SAGE Publications Inc.";"1986-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Cognitive Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2)"
47;12738;"Child Neuropsychology";journal;"17444136, 09297049";1,042;Q1;70;75;174;4349;486;173;2,71;57,99;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)"
48;30021;"Journal of Pediatric Psychology";journal;"01468693, 1465735X";1,035;Q1;116;127;352;3440;921;324;2,56;27,09;United Kingdom;Western Europe;"Oxford University Press";"1976-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2)"
49;27658;"Maternal and Child Health Journal";journal;"10927875, 15736628";1,014;Q1;80;204;801;6234;1710;754;2,10;30,56;United States;Northern America;"Springer GmbH &amp; Co, Auslieferungs-Gesellschaf";"1997-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
50;14872;"Child Psychiatry and Human Development";journal;"15733327, 0009398X";1,003;Q1;55;105;276;6040;693;270;2,26;57,52;United States;Northern America;"Kluwer Academic/Human Sciences Press Inc.";"1970-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Developmental and Educational Psychology (Q2)"
51;27623;"Journal of Perinatology";journal;"14765543, 07438346";1,001;Q1;89;253;774;6983;1622;695;2,11;27,60;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2020";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
52;21100428207;"Journal of the Pediatric Infectious Diseases Society";journal;"20487207, 20487193";0,998;Q1;27;130;298;2770;638;282;2,22;21,31;United States;Northern America;"Oxford University Press";"2012-2020";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Infectious Diseases (Q2)"
53;16672;"Journal of Child and Adolescent Psychopharmacology";journal;"10445463, 15578992";0,996;Q1;81;113;415;3611;833;314;2,51;31,96;United States;Northern America;"Mary Ann Liebert Inc.";"1994-2020";"Pediatrics, Perinatology and Child Health (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q2)"
54;15754;"Pediatric Research";journal;"00313998, 15300447";0,945;Q1;144;415;900;13859;2337;773;2,81;33,40;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1967-2020";"Pediatrics, Perinatology and Child Health (Q1)"
55;15747;"Pediatric Pulmonology";journal;"87556863, 10990496";0,927;Q1;102;306;717;9520;1631;641;2,41;31,11;United States;Northern America;"Wiley-Liss Inc.";"1985-2020";"Pediatrics, Perinatology and Child Health (Q1); Pulmonary and Respiratory Medicine (Q2)"
56;21100459267;"Journal of Adolescent and Young Adult Oncology";journal;"21565333, 2156535X";0,915;Q1;16;96;213;3368;427;205;1,71;35,08;United States;Northern America;"Mary Ann Liebert Inc.";"2014-2020";"Pediatrics, Perinatology and Child Health (Q1); Oncology (Q2)"
57;15006;"European Journal of Pediatrics";journal;"03406199, 14321076";0,913;Q1;91;205;653;5958;1544;588;2,59;29,06;Germany;Western Europe;"Springer Verlag";"1975-2020";"Pediatrics, Perinatology and Child Health (Q1)"
58;21100899528;"Adolescent Research Review";journal;"23638354, 23638346";0,912;Q1;10;37;62;3262;157;59;2,07;88,16;Switzerland;Western Europe;"Springer International Publishing AG";"2016-2020";"Pediatrics, Perinatology and Child Health (Q1); Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2)"
59;14991;"European Journal of Paediatric Neurology";journal;"15322130, 10903798";0,898;Q1;61;119;483;3737;1014;395;2,61;31,40;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1997-2020";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Neurology (clinical) (Q2)"
60;12708;"Fetal Diagnosis and Therapy";journal;"14219964, 10153837";0,897;Q1;58;143;278;3973;534;262;2,25;27,78;Switzerland;Western Europe;"S. Karger AG";"1986-2020";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Embryology (Q2); Obstetrics and Gynecology (Q2)"
61;15741;"Pediatric Neurology";journal;"18735150, 08878994";0,883;Q1;87;203;655;5596;1289;574;2,30;27,57;United States;Northern America;"Elsevier Inc.";"1985-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2)"
62;14963;"Current Opinion in Pediatrics";journal;"10408703, 1531698X";0,882;Q1;83;133;361;4584;918;334;2,29;34,47;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1989-2020";"Pediatrics, Perinatology and Child Health (Q1)"
63;15104;"Journal of Developmental and Behavioral Pediatrics";journal;"0196206X, 15367312";0,876;Q1;101;104;326;2692;664;283;1,87;25,88;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1980-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental and Educational Psychology (Q2); Psychiatry and Mental Health (Q2)"
64;14560;"Child and Adolescent Psychiatric Clinics of North America";journal;"10564993, 15580490";0,874;Q1;68;60;183;2737;394;158;2,07;45,62;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1995-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q2)"
65;14561;"Child: Care, Health and Development";journal;"03051862, 13652214";0,871;Q1;78;94;309;3656;749;301;2,19;38,89;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1975-2020";"Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1); Developmental and Educational Psychology (Q2)"
66;21100851481;"Frontiers in Pediatrics";journal;"22962360";0,870;Q1;28;541;834;23709;2092;752;2,78;43,82;Switzerland;Western Europe;"Frontiers Media S.A.";"2013-2020";"Pediatrics, Perinatology and Child Health (Q1)"
67;15719;"Pediatric Clinics of North America";journal;"00313955, 15578240";0,870;Q1;81;111;308;5050;618;234;2,23;45,50;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1953-2020";"Pediatrics, Perinatology and Child Health (Q1)"
68;14521;"BMC Pediatrics";journal;"14712431";0,853;Q1;69;521;827;17270;1890;813;2,08;33,15;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Pediatrics, Perinatology and Child Health (Q1)"
69;26013;"Endocrine Development";journal;"14217082, 16622979";0,852;Q1;36;0;70;0;153;64;1,26;0,00;Switzerland;Western Europe;"S. Karger AG";"2003-2005, 2007-2018";"Pediatrics, Perinatology and Child Health (Q1); Endocrine and Autonomic Systems (Q2); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Medicine (miscellaneous) (Q2)"
70;21712;"Journal of Pediatric Surgery";journal;"00223468, 15315037";0,852;Q1;122;645;1376;16485;2775;1290;1,97;25,56;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1966-2020";"Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1); Medicine (miscellaneous) (Q2)"
71;21934;"Paediatric Anaesthesia";journal;"11555645, 14609592";0,843;Q1;79;244;663;5166;1099;455;2,28;21,17;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2020";"Anesthesiology and Pain Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1)"
72;15113;"Journal of Pediatric and Adolescent Gynecology";journal;"10833188, 18734332";0,838;Q1;53;125;409;3210;816;364;2,02;25,68;Netherlands;Western Europe;"Elsevier USA";"1996-2020";"Pediatrics, Perinatology and Child Health (Q1); Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
73;20471;"Pediatric Nephrology";journal;"1432198X, 0931041X";0,813;Q1;102;333;847;13037;1795;752;2,26;39,15;Germany;Western Europe;"Springer Verlag";"1987-2020";"Pediatrics, Perinatology and Child Health (Q1); Nephrology (Q2)"
74;19700171310;"Hormone Research in Paediatrics";journal;"16632826, 16632818";0,805;Q1;87;97;315;3827;763;289;2,52;39,45;Switzerland;Western Europe;"S. Karger AG";"1970-1997, 2010-2020";"Pediatrics, Perinatology and Child Health (Q1); Endocrinology, Diabetes and Metabolism (Q2); Endocrinology (Q3)"
75;14410;"Acta Paediatrica, International Journal of Paediatrics";journal;"08035253, 16512227";0,798;Q1;109;504;1207;11133;1962;899;2,07;22,09;United States;Northern America;"Wiley-Blackwell";"1921-1985, 1992-2020";"Pediatrics, Perinatology and Child Health (Q1); Medicine (miscellaneous) (Q2)"
76;12663;"Early Human Development";journal;"18726232, 03783782";0,791;Q1;92;184;476;6086;996;441;2,22;33,08;Netherlands;Western Europe;"Elsevier Ireland Ltd";"1977-2020";"Pediatrics, Perinatology and Child Health (Q1); Obstetrics and Gynecology (Q2)"
77;30079;"American Journal of Perinatology";journal;"10988785, 07351631";0,788;Q1;63;231;637;5880;1096;623;1,49;25,45;United States;Northern America;"Thieme Medical Publishers Inc.";"1983-2020";"Pediatrics, Perinatology and Child Health (Q1); Obstetrics and Gynecology (Q2)"
78;4000148901;"Congenital Heart Disease";journal;"17470803, 1747079X";0,783;Q2;40;160;352;4080;590;334;1,63;25,50;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2006-2019";"Surgery (Q1); Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Pediatrics, Perinatology and Child Health (Q2); Radiology, Nuclear Medicine and Imaging (Q2)"
79;27622;"Journal of Perinatal Medicine";journal;"03005577, 16193997";0,773;Q2;66;138;421;4149;682;368;1,80;30,07;Germany;Western Europe;"Walter de Gruyter GmbH";"1973-2020";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)"
80;11700154618;"Child and Adolescent Psychiatry and Mental Health";journal;"17532000";0,770;Q2;39;47;167;2241;385;157;2,35;47,68;United Kingdom;Western Europe;"BioMed Central Ltd.";"2007-2020";"Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
81;17500155152;"American Journal on Intellectual and Developmental Disabilities";journal;"19447515, 19447558";0,761;Q2;80;49;123;1509;232;120;1,52;30,80;United States;Northern America;"American Association on Intellectual and Developmental Disabilities";"2009-2020";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Neuropsychology and Physiological Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
82;16674;"Journal of Child Neurology";journal;"17088283, 08830738";0,757;Q2;101;132;473;3583;956;443;1,83;27,14;United States;Northern America;"SAGE Publications Inc.";"1986-2020";"Neurology (clinical) (Q2); Pediatrics, Perinatology and Child Health (Q2)"
83;15724;"Pediatric Exercise Science";journal;"15432920, 08998493";0,755;Q2;62;66;231;2945;368;169;1,71;44,62;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2020";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Pediatrics, Perinatology and Child Health (Q2); Sports Science (Q2)"
84;500147006;"Child and Adolescent Mental Health";journal;"1475357X, 14753588";0,754;Q2;43;63;131;1666;223;108;2,08;26,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
85;13265;"Journal of AAPOS";journal;"15283933, 10918531";0,748;Q2;64;169;500;2589;579;421;1,32;15,32;United States;Northern America;"Sub Rosa";"1997-2020";"Ophthalmology (Q2); Pediatrics, Perinatology and Child Health (Q2)"
86;144927;"Child Abuse Review";journal;"09529136";0,728;Q2;39;42;120;1138;157;96;1,34;27,10;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2020";"Law (Q1); Social Work (Q1); Pediatrics, Perinatology and Child Health (Q2)"
87;5200152840;"Intellectual and Developmental Disabilities";journal;"19349491, 19349556";0,728;Q2;60;50;124;758;165;118;1,10;15,16;United States;Northern America;"American Association on Intellectual and Developmental Disabilities";"2007-2020";"Community and Home Care (Q1); Education (Q1); Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
88;22603;"Journal of Early Intervention";journal;"10538151";0,721;Q2;42;32;57;1633;113;57;1,43;51,03;United States;Northern America;"SAGE Publications Inc.";"1981-2020";"Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
89;15031;"Infant Mental Health Journal";journal;"01639641, 10970355";0,714;Q2;69;62;177;4056;324;161;1,74;65,42;United States;Northern America;"John Wiley and Sons Inc.";"1980-2020";"Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
90;14442;"Advances in Pediatrics";journal;"00653101, 18781926";0,707;Q2;33;16;56;1135;150;53;1,73;70,94;United States;Northern America;"Academic Press Inc.";"1948, 1952-1953, 1955-1957, 1960, 1962, 1964, 1966, 1968-1970, 1973-1974, 1976-2002, 2004-2019";"Pediatrics, Perinatology and Child Health (Q2)"
91;27601;"Journal of Maternal-Fetal and Neonatal Medicine";journal;"14767058, 14764954";0,703;Q2;75;1361;1993;37740;3282;1765;1,81;27,73;United Kingdom;Western Europe;"Informa Healthcare";"1992-2020";"Obstetrics and Gynecology (Q2); Pediatrics, Perinatology and Child Health (Q2)"
92;21100285069;"Hospital pediatrics";journal;"21541671, 21541663";0,693;Q2;16;27;230;0;332;219;1,64;0,00;United States;Northern America;"American Academy of Pediatrics";"2012-2019";"Pediatrics (Q1); Medicine (miscellaneous) (Q2); Pediatrics, Perinatology and Child Health (Q2)"
93;14320;"Brain and Development";journal;"18727131, 03877604";0,691;Q2;81;157;468;3105;712;434;1,56;19,78;Netherlands;Western Europe;"Elsevier";"1979-2020";"Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Pediatrics, Perinatology and Child Health (Q2); Developmental Neuroscience (Q3)"
