Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;5200152632;"Environmental Research Letters";journal;"17489326";2,675;Q1;109;474;1413;28193;8824;1363;6,09;59,48;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2006-2020";"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
12;19700175037;"Journal of the International AIDS Society";journal;"17582652";2,667;Q1;57;212;518;9000;2366;458;4,99;42,45;Switzerland;Western Europe;"John Wiley &amp; Sons Inc.";"2009-2020";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)"
13;21003;"Environmental Health Perspectives";journal;"15529924, 00916765";2,654;Q1;269;179;866;8529;6024;673;8,33;47,65;United States;Northern America;"Public Health Services, US Dept of Health and Human Services";"1972-2020";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
14;20913;"Bulletin of the World Health Organization";journal;"15640604, 00429686";2,502;Q1;158;174;521;3334;1962;280;6,27;19,16;Switzerland;Western Europe;"World Health Organization";"1945, 1949-2020";"Public Health, Environmental and Occupational Health (Q1)"
15;16442;"Journal of Travel Medicine";journal;"11951982, 17088305";2,499;Q1;55;118;354;2124;1161;272;4,88;18,00;United Kingdom;Western Europe;"Oxford University Press";"1994-2020";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
16;27063;"American Journal of Preventive Medicine";journal;"07493797, 18732607";2,389;Q1;207;302;1013;11233;4772;897;4,65;37,20;Netherlands;Western Europe;"Elsevier Inc.";"1985-2020";"Epidemiology (Q1); Public Health, Environmental and Occupational Health (Q1)"
17;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";2,360;Q1;92;23;103;930;305;81;4,09;40,43;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
18;19561;"American Journal of Public Health";journal;"00900036, 15410048";2,210;Q1;253;592;1816;8869;5460;1151;4,20;14,98;United States;Northern America;"American Public Health Association Inc.";"1949-1963, 1971-2020";"Public Health, Environmental and Occupational Health (Q1)"
19;11900154404;"PLoS Neglected Tropical Diseases";journal;"19352727, 19352735";2,148;Q1;121;743;2658;34771;10775;2571;3,94;46,80;United States;Northern America;"Public Library of Science";"2007-2020";"Infectious Diseases (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
20;22377;"Value in Health";journal;"10983015, 15244733";2,132;Q1;97;206;545;7983;2243;477;4,22;38,75;United Kingdom;Western Europe;"Elsevier Ltd.";"1998-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
21;15357;"Journal of Adolescent Health";journal;"1054139X, 18791972";2,105;Q1;153;338;830;10803;3324;675;4,15;31,96;Netherlands;Western Europe;"Elsevier USA";"1991-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
22;13124;"Trauma, Violence and Abuse";journal;"15248380, 15528324";2,037;Q1;77;114;143;8051;756;102;7,76;70,62;United States;Northern America;"SAGE Publications Ltd";"2000-2020";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)"
23;17785;"Medical Care";journal;"15371948, 00257079";2,036;Q1;170;225;576;6887;1989;492;3,38;30,61;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1963-2020";"Public Health, Environmental and Occupational Health (Q1)"
24;12600154733;"National Health Statistics Reports";book series;"23328363, 21648344";2,032;Q1;68;13;38;347;206;38;5,04;26,69;United States;Northern America;"U.S. National Center for Health Statistics";"2008-2020";"Public Health, Environmental and Occupational Health (Q1)"
25;21764;"AIDS Patient Care and STDs";journal;"15577449, 10872914";2,018;Q1;79;63;206;2805;733;188;4,07;44,52;United States;Northern America;"Mary Ann Liebert Inc.";"1996-2020";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)"
26;21100819608;"Emerging Contaminants";journal;"24056650, 24056642";1,993;Q1;14;33;49;2074;370;48;11,86;62,85;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2015-2020";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1); Toxicology (Q1)"
27;22695;"Remedial and Special Education";journal;"15384756, 07419325";1,982;Q1;61;51;93;2345;333;86;3,88;45,98;United States;Northern America;"SAGE Publications Inc.";"1984-2020";"Education (Q1); Public Health, Environmental and Occupational Health (Q1)"
28;21100898934;"BMJ Global Health";journal;"20597908";1,838;Q1;21;316;551;12803;1903;454;4,12;40,52;United Kingdom;Western Europe;"BMJ Publishing Group";"2016-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
29;20153;"AIDS and Behavior";journal;"10907165, 15733254";1,783;Q1;99;435;1100;20417;3823;1051;3,55;46,94;Netherlands;Western Europe;"Springer New York";"1997-2020";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
30;4700152753;"Translational Research";journal;"19315244";1,780;Q1;91;97;321;9841;1622;311;5,41;101,45;Netherlands;Western Europe;"Mosby Inc.";"2006-2020";"Biochemistry (medical) (Q1); Medicine (miscellaneous) (Q1); Physiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
31;22549;"Public Health Reviews";journal;"21076952, 03010422";1,756;Q1;28;5;95;203;329;83;3,73;40,60;Israel;Middle East;"";"1973-1980, 1982-2003, 2010-2020";"Community and Home Care (Q1); Public Health, Environmental and Occupational Health (Q1)"
32;17665;"Preventive Medicine";journal;"10960260, 00917435";1,744;Q1;164;352;1062;13901;4307;990;4,01;39,49;United States;Northern America;"Academic Press Inc.";"1946, 1972-2020";"Epidemiology (Q1); Public Health, Environmental and Occupational Health (Q1)"
33;15896;"Journal of Epidemiology and Community Health";journal;"14702738, 0143005X";1,710;Q1;162;183;541;6649;1933;461;3,89;36,33;United Kingdom;Western Europe;"BMJ Publishing Group";"1978-2020";"Epidemiology (Q1); Public Health, Environmental and Occupational Health (Q1)"
34;13900154714;"Influenza and other Respiratory Viruses";journal;"17502640, 17502659";1,709;Q1;51;76;228;2563;714;213;3,49;33,72;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2007-2020";"Epidemiology (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Pulmonary and Respiratory Medicine (Q1)"
35;21100461914;"LGBT Health";journal;"23258306, 23258292";1,704;Q1;27;53;187;2325;720;168;3,85;43,87;United States;Northern America;"Mary Ann Liebert Inc.";"2015-2020";"Dermatology (Q1); Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Urology (Q1)"
36;19532;"Accident Analysis and Prevention";journal;"18792057, 00014575";1,690;Q1;139;372;1002;17912;4568;992;4,43;48,15;United Kingdom;Western Europe;"Elsevier Ltd.";"1969-2020";"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)"
37;21376;"Vaccine";journal;"0264410X, 18732518";1,683;Q1;175;1046;3135;38978;10094;2889;3,37;37,26;Netherlands;Western Europe;"Elsevier BV";"1983-2020";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)"
38;19900192160;"Epidemiology and Psychiatric Sciences";journal;"20457979, 20457960";1,630;Q1;44;152;274;5667;898;200;4,37;37,28;United Kingdom;Western Europe;"Cambridge University Press";"2011-2020";"Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
39;17058;"Nicotine and Tobacco Research";journal;"1469994X, 14622203";1,625;Q1;108;253;835;7812;2657;761;3,43;30,88;United Kingdom;Western Europe;"Oxford University Press";"1999-2020";"Public Health, Environmental and Occupational Health (Q1)"
40;15313;"Suicide and Life-Threatening Behavior";journal;"03630234, 1943278X";1,622;Q1;86;163;195;6860;790;193;3,98;42,09;United States;Northern America;"Wiley-Blackwell";"1971-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
41;21100437623;"Burnout Research";journal;"22130586";1,620;Q1;18;0;30;0;221;25;8,86;0,00;Netherlands;Western Europe;"Elsevier BV";"2014-2017";"Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
42;17712;"Qualitative Health Research";journal;"15527557, 10497323";1,571;Q1;106;185;527;9519;2037;515;3,18;51,45;United States;Northern America;"SAGE Publications Inc.";"1991-2020";"Public Health, Environmental and Occupational Health (Q1)"
43;21100924773;"GeoHealth";journal;"24711403";1,564;Q1;6;18;16;1317;68;13;5,23;73,17;United States;Northern America;"John Wiley and Sons Inc.";"2017-2020";"Global and Planetary Change (Q1); Health, Toxicology and Mutagenesis (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Epidemiology (Q2)"
44;24944;"Sexually Transmitted Diseases";journal;"15374521, 01485717";1,558;Q1;101;178;527;4208;1128;460;2,43;23,64;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1977-2020";"Dermatology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
45;21100404585;"One Health";journal;"23527714";1,555;Q1;15;31;65;1530;275;61;4,72;49,35;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)"
46;17300154924;"Epidemics";journal;"17554365, 18780067";1,537;Q1;33;57;115;2752;378;113;3,37;48,28;Netherlands;Western Europe;"Elsevier";"2009-2020";"Infectious Diseases (Q1); Microbiology (Q1); Parasitology (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2); Virology (Q2)"
47;500147005;"Maternal and Child Nutrition";journal;"17408695, 17408709";1,535;Q1;57;186;471;8016;1603;442;2,97;43,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Nutrition and Dietetics (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
48;21100401153;"Antimicrobial Resistance and Infection Control";journal;"20472994";1,499;Q1;30;207;343;7683;1352;327;3,80;37,12;United Kingdom;Western Europe;"BioMed Central Ltd.";"2012-2020";"Infectious Diseases (Q1); Microbiology (medical) (Q1); Pharmacology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
49;29756;"Occupational and Environmental Medicine";journal;"14707926, 13510711";1,486;Q1;135;157;456;4667;1412;349;3,88;29,73;United Kingdom;Western Europe;"BMJ Publishing Group";"1994-2020";"Public Health, Environmental and Occupational Health (Q1)"
50;25098;"Future of Children";journal;"15501558, 10548289";1,481;Q1;80;8;38;256;176;37;5,11;32,00;United States;Northern America;"Center for the Future of Children";"1994-2015, 2017-2019";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
51;21100787508;"Journal of Global Health";journal;"20472986, 20472978";1,473;Q1;27;170;275;4850;805;266;2,77;28,53;United Kingdom;Western Europe;"Edinburgh University Global Health Society";"2011-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
52;12344;"Scandinavian Journal of Work, Environment and Health";journal;"03553140, 1795990X";1,473;Q1;99;76;214;3044;748;181;4,19;40,05;Finland;Western Europe;"Finnish Institute of Occupational Health";"1975-2020";"Public Health, Environmental and Occupational Health (Q1)"
53;21100201916;"Pediatric obesity";journal;"20476302, 20476310";1,455;Q1;63;102;274;4016;974;261;3,65;39,37;United Kingdom;Western Europe;"Wiley-Blackwell for the International Association for the Study of Obesity";"2012-2020";"Health Policy (Q1); Nutrition and Dietetics (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
54;21165;"PharmacoEconomics";journal;"11707690, 11792027";1,453;Q1;97;134;358;5599;1175;304;3,61;41,78;United Kingdom;Western Europe;"Adis International Ltd";"1992-2020";"Health Policy (Q1); Pharmacology (Q1); Public Health, Environmental and Occupational Health (Q1)"
55;21100394090;"Infectious Diseases of Poverty";journal;"20499957";1,435;Q1;31;104;407;4734;1319;379;3,15;45,52;United Kingdom;Western Europe;"BioMed Central Ltd.";"2012-2020";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
56;145480;"Environmental Health: A Global Access Science Source";journal;"1476069X";1,424;Q1;82;117;352;5937;1770;338;4,59;50,74;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2020";"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
57;26613;"Administration and Policy in Mental Health and Mental Health Services Research";journal;"15733289, 0894587X";1,411;Q1;62;91;271;4385;823;251;2,77;48,19;United States;Northern America;"Springer New York";"1988-2020";"Health Policy (Q1); Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
58;23019;"Prevention Science";journal;"13894986, 15736695";1,407;Q1;81;130;323;6092;1023;294;3,38;46,86;Netherlands;Western Europe;"Springer New York";"2000-2020";"Public Health, Environmental and Occupational Health (Q1)"
59;22494;"Population Health Metrics";journal;"14787954";1,394;Q1;49;20;111;717;379;108;3,38;35,85;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
60;21461;"International Journal for Equity in Health";journal;"14759276";1,393;Q1;50;210;618;9137;1840;590;2,77;43,51;United Kingdom;Western Europe;"BioMed Central Ltd.";"2002-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
61;29102;"Health and Place";journal;"13538292";1,387;Q1;101;196;387;11418;1670;383;3,90;58,26;Netherlands;Western Europe;"Elsevier Ltd.";"1995-2020";"Geography, Planning and Development (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
62;21466;"International Journal of Hygiene and Environmental Health";journal;"14384639";1,369;Q1;84;128;388;7033;1927;367;5,23;54,95;Netherlands;Western Europe;"Urban und Fischer Verlag Jena";"2000-2020";"Public Health, Environmental and Occupational Health (Q1)"
63;21103;"Milbank Quarterly";journal;"0887378X, 14680009";1,369;Q1;97;71;164;2138;486;131;2,14;30,11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
64;26890;"Health Reports";journal;"12091367, 08406529";1,362;Q1;58;27;82;1066;277;82;3,40;39,48;Canada;Northern America;"Statistics Canada";"1989-2020";"Demography (Q1); Public Health, Environmental and Occupational Health (Q1)"
65;20885;"Health Expectations";journal;"13696513, 13697625";1,354;Q1;68;140;380;6308;1347;361;3,60;45,06;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2020";"Public Health, Environmental and Occupational Health (Q1)"
66;20814;"Harm Reduction Journal";journal;"14777517";1,347;Q1;46;76;179;3696;663;167;4,26;48,63;United Kingdom;Western Europe;"BioMed Central Ltd.";"2004-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
67;21100936579;"Current Opinion in Environmental Science and Health";journal;"24685844";1,316;Q1;12;66;71;3586;404;65;6,22;54,33;Netherlands;Western Europe;"Elsevier BV";"2018-2020";"Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
68;15645;"Journal of Health and Social Behavior";journal;"00221465, 21506000";1,314;Q1;122;36;118;1825;305;105;2,29;50,69;United States;Northern America;"American Sociological Association";"1967-2020";"Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
69;21431;"Indoor Air";journal;"09056947, 16000668";1,307;Q1;94;109;286;5864;1423;265;5,25;53,80;Denmark;Western Europe;"Blackwell Munksgaard";"1991-2020";"Building and Construction (Q1); Environmental Engineering (Q1); Public Health, Environmental and Occupational Health (Q1)"
70;21100443787;"SSM - Population Health";journal;"23528273";1,307;Q1;17;196;299;10420;906;292;2,74;53,16;United Kingdom;Western Europe;"Elsevier Ltd.";"2015-2020";"Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
71;21100932464;"Gates Open Research";journal;"25724754";1,306;Q1;7;32;57;998;134;54;2,48;31,19;United States;Northern America;"";"2017-2019";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
72;4000148311;"Preventing chronic disease";journal;"15451151";1,275;Q1;73;171;493;3564;1200;453;2,22;20,84;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2004-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
73;4400151514;"Globalization and Health";journal;"17448603";1,272;Q1;47;90;302;4824;841;269;2,89;53,60;United Kingdom;Western Europe;"BioMed Central Ltd.";"2005-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
74;23122;"Tropical Medicine and International Health";journal;"13602276, 13653156";1,256;Q1;109;155;494;6024;1204;453;2,46;38,86;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Infectious Diseases (Q1); Parasitology (Q1); Public Health, Environmental and Occupational Health (Q1)"
75;19700175038;"Open AIDS Journal";journal;"18746136";1,251;Q1;17;10;53;309;149;49;1,10;30,90;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2009-2020";"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q2)"
76;20122;"Women's Health Issues";journal;"10493867, 18784321";1,251;Q1;56;88;293;3571;702;261;2,51;40,58;Netherlands;Western Europe;"Elsevier USA";"1990-2020";"Health (social science) (Q1); Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1)"
77;21100464956;"Exposure and Health";journal;"24519766, 24519685";1,249;Q1;18;69;91;3885;581;84;6,03;56,30;Netherlands;Western Europe;"Springer Netherlands";"2016-2020";"Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Water Science and Technology (Q1)"
78;21100829975;"Clinical and Experimental Vaccine Research";journal;"2287366X, 22873651";1,243;Q1;9;18;39;560;139;37;3,76;31,11;South Korea;Asiatic Region;"Korean Vaccine Society";"2017-2020";"Pharmacology (Q1); Public Health, Environmental and Occupational Health (Q1); Immunology and Allergy (Q2); Infectious Diseases (Q2)"
79;12332;"Safety Science";journal;"09257535";1,240;Q1;100;461;833;25227;4223;804;5,16;54,72;Netherlands;Western Europe;"Elsevier";"1991-2020";"Public Health, Environmental and Occupational Health (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)"
80;21100463052;"NanoImpact";journal;"24520748";1,237;Q1;18;53;134;3201;728;128;5,61;60,40;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Materials Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)"
81;18138;"Sociology of Health and Illness";journal;"01419889, 14679566";1,220;Q1;92;123;272;6405;797;264;2,85;52,07;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-2020";"Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
82;27997;"Public Health Nutrition";journal;"14752727, 13689800";1,210;Q1;129;399;1138;17535;3472;1041;3,24;43,95;United Kingdom;Western Europe;"Cambridge University Press";"1998-2020";"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Public Health, Environmental and Occupational Health (Q1)"
83;14026;"Human Resources for Health";journal;"14784491";1,208;Q1;56;105;234;4312;738;226;3,22;41,07;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Public Administration (Q1); Public Health, Environmental and Occupational Health (Q1)"
84;19621;"BMC Public Health";journal;"14712458";1,198;Q1;130;1764;3664;75646;11206;3531;2,84;42,88;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Public Health, Environmental and Occupational Health (Q1)"
85;17500154705;"Global Health Action";journal;"16549716, 16549880";1,193;Q1;41;111;463;4486;1118;435;2,44;40,41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
86;21100390415;"Global health, science and practice";journal;"2169575X";1,192;Q1;23;80;251;2177;484;191;2,24;27,21;United States;Northern America;"";"2013-2019";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
87;4700151503;"Journal of the American Board of Family Medicine";journal;"15572625, 15587118";1,190;Q1;76;142;410;2683;838;345;2,32;18,89;United States;Northern America;"American Board of Family Medicine";"2001-2002, 2004, 2006-2020";"Family Practice (Q1); Public Health, Environmental and Occupational Health (Q1)"
88;25076;"Ecotoxicology and Environmental Safety";journal;"01476513, 10902414";1,178;Q1;121;1331;2236;74254;11751;2213;5,25;55,79;United States;Northern America;"Academic Press Inc.";"1977-2020";"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1)"
89;16003;"Journal of Rural Health";journal;"0890765X, 17480361";1,142;Q1;54;79;157;3053;447;145;2,80;38,65;United States;Northern America;"Wiley-Blackwell";"1985-2020";"Public Health, Environmental and Occupational Health (Q1)"
90;23402;"European Journal of Applied Physiology";journal;"14396319, 14396327";1,134;Q1;128;253;741;11544;2098;690;2,70;45,63;Germany;Western Europe;"Springer Verlag";"1973-1974, 1996-2020";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Sports Science (Q1); Physiology (medical) (Q2)"
91;6200180178;"International Journal of COPD";journal;"11782005, 11769106";1,132;Q1;60;300;1113;10549;3154;1049;2,88;35,16;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2006-2020";"Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Pulmonary and Respiratory Medicine (Q1)"
92;17732;"Quality of Life Research";journal;"15732649, 09629343";1,116;Q1;137;334;924;14897;2827;902;2,96;44,60;Netherlands;Western Europe;"Springer Netherlands";"1992-2020";"Public Health, Environmental and Occupational Health (Q1)"
93;21100829907;"American Journal of Health Economics";journal;"23323493, 23323507";1,087;Q1;9;15;63;763;104;62;2,00;50,87;United States;Northern America;"MIT Press Journals";"2015-2019";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
94;16448;"Journal of Urban Health";journal;"10993460, 14682869";1,083;Q1;86;98;272;4376;709;239;2,50;44,65;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1988, 1998-2020";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Urban Studies (Q1)"
95;4400151701;"Journal of Exposure Science and Environmental Epidemiology";journal;"1559064X, 15590631";1,077;Q1;87;121;228;5100;816;222;3,57;42,15;United Kingdom;Western Europe;"Nature Publishing Group";"2006-2020";"Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Toxicology (Q1); Epidemiology (Q2)"
96;21321;"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV";journal;"13600451, 09540121";1,076;Q1;92;303;827;9993;1903;808;2,12;32,98;United Kingdom;Western Europe;"Routledge";"1989-2020";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
97;20200;"Travel Medicine and Infectious Disease";journal;"18730442, 14778939";1,075;Q1;40;194;367;4519;813;220;3,63;23,29;Netherlands;Western Europe;"Elsevier USA";"2003-2020";"Public Health, Environmental and Occupational Health (Q1); Infectious Diseases (Q2)"
98;21100229837;"Environmental Sciences: Processes and Impacts";journal;"20507887, 20507895";1,073;Q1;90;214;442;10559;1451;420;3,32;49,34;United Kingdom;Western Europe;"Royal Society of Chemistry";"2012-2020";"Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Environmental Chemistry (Q2)"
