Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
24;15440;"Dialogues in Clinical Neuroscience";journal;"19585969, 12948322";2,554;Q1;79;42;120;2121;797;110;5,75;50,50;France;Western Europe;"Servier International";"2002-2019";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
25;13487;"Depression and Anxiety";journal;"10914269, 15206394";2,544;Q1;120;112;370;6422;2010;331;5,32;57,34;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
26;15439;"Journal of Consulting and Clinical Psychology";journal;"0022006X";2,535;Q1;231;101;308;5617;1699;300;5,25;55,61;United States;Northern America;"American Psychological Association Inc.";"1968-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
27;15452;"Journal of Counseling Psychology";journal;"00220167";2,533;Q1;126;86;195;2699;1056;189;4,48;31,38;United States;Northern America;"American Psychological Association Inc.";"1954-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1)"
28;17574;"Acta Psychiatrica Scandinavica";journal;"16000447, 0001690X";2,516;Q1;140;133;420;6493;1824;320;5,95;48,82;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1926-1949, 1953-2020";"Psychiatry and Mental Health (Q1)"
29;12127;"Behaviour Research and Therapy";journal;"00057967, 1873622X";2,326;Q1;177;151;391;9550;2096;378;5,03;63,25;United Kingdom;Western Europe;"Elsevier Ltd.";"1963-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1)"
30;21100854140;"npj Schizophrenia";journal;"2334265X";2,306;Q1;19;21;85;1348;380;71;4,96;64,19;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2020";"Psychiatry and Mental Health (Q1)"
31;14313;"Bipolar Disorders";journal;"13995618, 13985647";2,269;Q1;124;143;279;4513;1035;188;5,54;31,56;United Kingdom;Western Europe;"Blackwell Munksgaard";"1999-2020";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
32;15357;"Journal of Adolescent Health";journal;"1054139X, 18791972";2,105;Q1;153;338;830;10803;3324;675;4,15;31,96;Netherlands;Western Europe;"Elsevier USA";"1991-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
33;15375;"Journal of Anxiety Disorders";journal;"08876185, 18737897";2,056;Q1;107;79;272;4482;1210;267;3,34;56,73;United Kingdom;Western Europe;"Elsevier Ltd.";"1987-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
34;18745;"Psychoneuroendocrinology";journal;"03064530, 18733360";2,049;Q1;164;401;966;23114;4849;918;5,02;57,64;United Kingdom;Western Europe;"Elsevier Ltd.";"1975-2020";"Biological Psychiatry (Q1); Endocrine and Autonomic Systems (Q1); Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Psychiatry and Mental Health (Q1)"
35;19700182728;"Personality Disorders: Theory, Research, and Treatment";journal;"19492723, 19492715";2,035;Q1;43;83;155;2919;653;146;4,00;35,17;United States;Northern America;"American Psychological Association Inc.";"2010-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
36;21100415705;"Alzheimer's and Dementia: Translational Research and Clinical Interventions";journal;"23528737";1,997;Q1;20;102;185;4412;1093;181;6,34;43,25;United States;Northern America;"Elsevier Inc.";"2015-2019";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
37;21100363813;"Current Opinion in Behavioral Sciences";journal;"23521546";1,970;Q1;31;146;458;8729;1957;433;4,45;59,79;United Kingdom;Western Europe;"Elsevier Ltd.";"2015-2020";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
38;14838;"Canadian Journal of Psychiatry";journal;"14970015, 07067437";1,966;Q1;109;118;327;4727;1291;257;3,71;40,06;Canada;Northern America;"SAGE Publications Inc.";"1979-2020";"Psychiatry and Mental Health (Q1)"
39;16245;"Journal of Affective Disorders";journal;"01650327, 15732517";1,945;Q1;174;1037;2359;54672;10888;2262;4,45;52,72;Netherlands;Western Europe;"Elsevier";"1979-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
40;26380;"Drug and Alcohol Dependence";journal;"03768716";1,909;Q1;158;507;1356;23519;5907;1319;4,22;46,39;Netherlands;Western Europe;"Elsevier Ireland Ltd";"1975-2020";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)"
41;16812;"Journal of Psychiatric Research";journal;"18791379, 00223956";1,860;Q1;130;258;740;13861;3370;716;4,21;53,72;United Kingdom;Western Europe;"Elsevier Ltd.";"1961-1982, 1984-2020";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
42;15011;"Current Psychiatry Reports";journal;"15351645, 15233812";1,859;Q1;70;135;343;10592;1823;341;5,26;78,46;United States;Northern America;"Current Science, Inc.";"1996, 1999-2020";"Psychiatry and Mental Health (Q1)"
43;13442;"Psychological Assessment";journal;"1939134X, 10403590";1,845;Q1;132;160;478;7399;2105;453;3,47;46,24;United States;Northern America;"American Psychological Association Inc.";"1989-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
44;16685;"Journal of Clinical Psychiatry";journal;"01606689, 15552101";1,833;Q1;199;148;728;4969;2521;590;4,24;33,57;United States;Northern America;"Physicians Postgraduate Press Inc.";"1978-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
45;16816;"Journal of Psychiatry and Neuroscience";journal;"14882434, 11804882";1,810;Q1;94;54;170;3100;624;136;3,76;57,41;Canada;Northern America;"Canadian Medical Association";"1991-2020";"Biological Psychiatry (Q1); Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
46;19355;"Schizophrenia Research";journal;"09209964, 15732509";1,796;Q1;171;575;1352;28537;4753;1108;3,94;49,63;Netherlands;Western Europe;"Elsevier BV";"1988-2020";"Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
47;15369;"Journal of Abnormal Child Psychology";journal;"15732835, 00910627";1,794;Q1;136;156;396;9657;1551;385;3,40;61,90;United States;Northern America;"Springer New York";"1973-2020";"Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
48;19841;"Social Psychiatry and Psychiatric Epidemiology";journal;"14339285, 09337954";1,775;Q1;116;192;461;9204;1825;410;4,23;47,94;Germany;Western Europe;"D. Steinkopff-Verlag";"1988-2020";"Epidemiology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1); Social Psychology (Q1)"
49;21100373947;"Journal of Behavioral Addictions";journal;"20625871, 20635303";1,767;Q1;37;79;301;4701;1638;298;5,41;59,51;Hungary;Eastern Europe;"Akademiai Kiado";"2012-2019";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
50;13491;"Development and Psychopathology";journal;"09545794, 14692198";1,739;Q1;164;214;384;17796;1414;342;3,92;83,16;United Kingdom;Western Europe;"Cambridge University Press";"1989-2020";"Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
51;19172;"Psychosomatic Medicine";journal;"00333174, 15347796";1,731;Q1;180;110;363;5128;1392;335;3,76;46,62;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1945-2020";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
52;27473;"Annals of Behavioral Medicine";journal;"15324796, 08836612";1,711;Q1;126;98;278;4674;1204;273;4,37;47,69;United States;Northern America;"Springer New York";"1987-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)"
53;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";1,711;Q1;95;32;73;3280;319;69;3,90;102,50;United States;Northern America;"Kluwer Academic Publishers";"1998-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
54;21100461914;"LGBT Health";journal;"23258306, 23258292";1,704;Q1;27;53;187;2325;720;168;3,85;43,87;United States;Northern America;"Mary Ann Liebert Inc.";"2015-2020";"Dermatology (Q1); Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Urology (Q1)"
55;22452;"International Journal of Neuropsychopharmacology";journal;"14611457, 14695111";1,695;Q1;101;59;381;1834;1663;356;4,34;31,08;United Kingdom;Western Europe;"Oxford University Press";"1998-2020";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
56;12675;"International Journal of Eating Disorders";journal;"1098108X, 02763478";1,672;Q1;135;165;474;6650;1987;446;4,21;40,30;United States;Northern America;"John Wiley and Sons Inc.";"1981-2020";"Psychiatry and Mental Health (Q1)"
57;15576;"European Neuropsychopharmacology";journal;"0924977X, 18737862";1,652;Q1;107;136;448;8085;1818;418;3,85;59,45;Netherlands;Western Europe;"Elsevier";"1990-2020";"Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
58;19900192160;"Epidemiology and Psychiatric Sciences";journal;"20457979, 20457960";1,630;Q1;44;152;274;5667;898;200;4,37;37,28;United Kingdom;Western Europe;"Cambridge University Press";"2011-2020";"Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
59;15313;"Suicide and Life-Threatening Behavior";journal;"03630234, 1943278X";1,622;Q1;86;163;195;6860;790;193;3,98;42,09;United States;Northern America;"Wiley-Blackwell";"1971-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
60;21100437623;"Burnout Research";journal;"22130586";1,620;Q1;18;0;30;0;221;25;8,86;0,00;Netherlands;Western Europe;"Elsevier BV";"2014-2017";"Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
61;14994;"Current Opinion in Psychiatry";journal;"14736578, 09517367";1,619;Q1;85;87;207;3902;961;196;4,70;44,85;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1988-2020";"Psychiatry and Mental Health (Q1)"
62;15548;"European Child and Adolescent Psychiatry";journal;"10188827, 1435165X";1,586;Q1;90;243;438;12467;1693;378;4,32;51,30;Germany;Western Europe;"D. Steinkopff-Verlag";"1992-2020";"Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Philosophy (Q1); Psychiatry and Mental Health (Q1)"
63;16246;"Journal of Alzheimer's Disease";journal;"13872877, 18758908";1,586;Q1;127;729;2184;40390;8784;2149;4,04;55,40;Netherlands;Western Europe;"IOS Press";"1998-2020";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
64;14277;"Health Psychology";journal;"19307810, 02786133";1,580;Q1;156;157;426;4943;1702;409;3,37;31,48;United States;Northern America;"American Psychological Association Inc.";"1984-2020";"Applied Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
65;17545;"Law and Human Behavior";journal;"01477307, 1573661X";1,579;Q1;92;46;145;2203;473;143;2,57;47,89;United States;Northern America;"Springer New York";"1977-2020";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)"
66;25334;"Journal of Substance Abuse Treatment";journal;"18736483, 07405472";1,574;Q1;99;147;436;6753;1502;420;3,31;45,94;Netherlands;Western Europe;"Elsevier Inc.";"1984-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
67;145178;"American Journal of Medical Genetics, Part B, Neuropsychiatric Genetics";journal;"15524841, 1552485X";1,567;Q1;124;59;262;3721;882;251;3,68;63,07;United States;Northern America;"Wiley-Liss Inc.";"1993, 1995-2020";"Genetics (clinical) (Q1); Psychiatry and Mental Health (Q1); Cellular and Molecular Neuroscience (Q2)"
68;24763;"Addictive Behaviors";journal;"03064603";1,558;Q1;120;450;997;19951;3803;970;4,07;44,34;United Kingdom;Western Europe;"Elsevier Ltd.";"1975-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)"
69;24749;"Addiction Biology";journal;"13556215, 13691600";1,551;Q1;74;207;364;11587;1546;356;4,19;55,98;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
70;15578;"European Psychiatry";journal;"09249338, 17783585";1,551;Q1;93;113;357;5903;1396;323;4,35;52,24;France;Western Europe;"Cambridge University Press";"1991-2020";"Psychiatry and Mental Health (Q1)"
71;14990;"Current Neuropharmacology";journal;"18756190, 1570159X";1,531;Q1;65;85;317;10853;1489;290;4,76;127,68;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2004-2020";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
72;20106;"CNS Drugs";journal;"11791934, 11727047";1,522;Q1;105;96;278;8129;1322;254;5,37;84,68;United Kingdom;Western Europe;"Adis International Ltd";"1994-2020";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
73;14250;"Australian and New Zealand Journal of Psychiatry";journal;"00048674, 14401614";1,520;Q1;111;251;689;5226;1403;322;4,25;20,82;United States;Northern America;"SAGE Publications Ltd";"1967-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
74;28534;"American Journal of Geriatric Psychiatry";journal;"15457214, 10647481";1,518;Q1;115;213;560;6452;1477;340;4,09;30,29;United States;Northern America;"Elsevier Inc.";"1993-2020";"Geriatrics and Gerontology (Q1); Psychiatry and Mental Health (Q1)"
75;25372;"Psychology of Addictive Behaviors";journal;"0893164X";1,507;Q1;101;113;304;3250;1061;295;3,16;28,76;United States;Northern America;"Educational Publishing Foundation";"1993-2020";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
76;110175;"Psychiatric Services";journal;"15579700, 10752730";1,493;Q1;138;247;831;5071;1877;671;2,70;20,53;United States;Northern America;"American Psychiatric Association";"1995-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
77;21100244230;"Alcohol research : current reviews";journal;"21694796, 21683492";1,450;Q1;90;8;70;0;333;64;3,31;0,00;United States;Northern America;"National Institute on Alcohol Abuse and Alcoholism (NIAAA)";"2012-2019";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
78;15665;"General Hospital Psychiatry";journal;"01638343, 18737714";1,430;Q1;100;97;292;4397;884;241;3,08;45,33;Netherlands;Western Europe;"Elsevier Inc.";"1979-2020";"Psychiatry and Mental Health (Q1)"
79;24451;"Child Abuse and Neglect";journal;"01452134";1,424;Q1;137;298;797;16522;2678;751;3,22;55,44;Netherlands;Western Europe;"Elsevier Ltd.";"1977-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Work (Q1)"
80;26613;"Administration and Policy in Mental Health and Mental Health Services Research";journal;"15733289, 0894587X";1,411;Q1;62;91;271;4385;823;251;2,77;48,19;United States;Northern America;"Springer New York";"1988-2020";"Health Policy (Q1); Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
81;94948;"World Journal of Biological Psychiatry";journal;"18141412, 15622975";1,405;Q1;66;126;228;6538;660;170;3,72;51,89;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
82;16072;"Harvard Review of Psychiatry";journal;"14657309, 10673229";1,382;Q1;75;36;112;3141;369;103;3,58;87,25;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1993-2020";"Psychiatry and Mental Health (Q1)"
83;15413;"Journal of Cognition and Development";journal;"15327647, 15248372";1,380;Q1;53;44;109;2166;252;99;2,22;49,23;United States;Northern America;"Psychology Press Ltd";"2000-2020";"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1)"
84;14077;"Psychotherapy";journal;"19391536, 00333204";1,365;Q1;73;82;156;1982;495;148;3,67;24,17;United States;Northern America;"American Psychological Association Inc.";"1973-1978, 1980-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
85;20814;"Harm Reduction Journal";journal;"14777517";1,347;Q1;46;76;179;3696;663;167;4,26;48,63;United Kingdom;Western Europe;"BioMed Central Ltd.";"2004-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
86;21100894555;"BJPsych Open";journal;"20564724";1,343;Q1;15;17;195;591;543;191;2,44;34,76;United Kingdom;Western Europe;"Cambridge University Press";"2015-2019";"Psychiatry and Mental Health (Q1)"
87;23109;"Journal of Psychopharmacology";journal;"14617285, 02698811";1,342;Q1;112;151;438;9348;1608;408;3,44;61,91;United States;Northern America;"SAGE Publications Ltd";"1987-2020";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
88;14260;"BMC Psychiatry";journal;"1471244X";1,341;Q1;88;428;1269;20537;4373;1254;3,15;47,98;United Kingdom;Western Europe;"BioMed Central Ltd.";"2001-2020";"Psychiatry and Mental Health (Q1)"
89;10600153347;"Brain Imaging and Behavior";journal;"19317565, 19317557";1,325;Q1;44;325;464;19575;1611;443;3,41;60,23;United States;Northern America;"Springer New York";"2007-2020";"Behavioral Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Cellular and Molecular Neuroscience (Q2); Cognitive Neuroscience (Q2)"
90;7000153203;"Journal of Studies on Alcohol and Drugs";journal;"19371888, 19384114";1,317;Q1;122;93;385;3397;939;317;2,64;36,53;United States;Northern America;"Alcohol Research Documentation, Inc.";"2007-2020";"Health (social science) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)"
91;21100394256;"European Journal of Psychotraumatology";journal;"20008066";1,311;Q1;34;131;188;7032;697;167;3,86;53,68;Sweden;Western Europe;"Co-Action Publishing";"2015-2020";"Psychiatry and Mental Health (Q1)"
92;21100884825;"International Journal of Bipolar Disorders";journal;"21947511";1,309;Q1;20;29;93;1243;306;84;3,21;42,86;Germany;Western Europe;"Springer Open";"2013-2020";"Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
93;15582;"Evidence-Based Mental Health";journal;"1468960X, 13620347";1,273;Q1;29;48;203;1104;421;114;5,03;23,00;United Kingdom;Western Europe;"BMJ Publishing Group";"1998-2020";"Psychiatry and Mental Health (Q1)"
94;15546;"European Archives of Psychiatry and Clinical Neuroscience";journal;"14338491, 09401334";1,272;Q1;96;168;276;9464;816;231;3,43;56,33;Germany;Western Europe;"D. Steinkopff-Verlag";"1990-2020";"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
95;14799;"Sexual Abuse: Journal of Research and Treatment";journal;"10790632, 1573286X";1,249;Q1;73;85;121;5053;403;114;2,90;59,45;United States;Northern America;"SAGE Publications Inc.";"1988-1993, 1995-2020";"Psychiatry and Mental Health (Q1); Psychology (miscellaneous) (Q1)"
96;24791;"Alcoholism: Clinical and Experimental Research";journal;"01456008, 15300277";1,246;Q1;150;267;780;14216;2454;704;3,25;53,24;United States;Northern America;"Wiley-Blackwell";"1977-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)"
97;11700154316;"CNS Neuroscience and Therapeutics";journal;"17555949, 17555930";1,241;Q1;64;152;365;8346;1283;303;4,28;54,91;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Physiology (medical) (Q2)"
